id,Торг_точка_чистый_адрес
258,"г Ростов-на-Дону ул 40лет Победы 37ж"
259,"г. Ростов-на-Дону ул. 40лет Победы 37ж"
260,"ТЦ "Меркурий" Орская,31, Магазин "Татьян"
261,"ул.Каскадная, 308 (Сады)"
262,"Азовский р-он. г.Азов ул.Кондаурова д.3"
263,"Азовский р-он. с. Маргаритово ул.Набережная 24"
264,"Азовский р-он. с. Маргаритово, ул Фрунзе 2а"
265,"г.Батайск, ул.К.Цеткиной, 56"
266,"М.Курганский р-н, с. Староротовка, ул.Дружбы 61"
267,"Новочеркасск, ул.Пушкинская, 109, м-н "Славянский""
268,"г.Донецк, ул.Василевского, 77"
269,"Белая Калитва,ул Светлая 6 в корпус 10 м-н Сладкий каприз"
270,"ИП Руковичкина В В 347042 Ростовская обл г Белая Калитва ул Энгелься 15/13"
271,"ИП Руковичкина В.В. 347042 Ростовская обл. г.Белая Калитва ул.Энгелься 15/13"
272,"ИП Руковичкина В.В.,347042,Ростовская обл., г.Белая Калитва,ул.Энгелься 15/13"
273,"п.Щепкино, СНТ Содружество, д.2405"
274,"г. Ростов-на-Дону, Врубовая 40, пав.100"
275,"г Ростов-на-Дону 40 лет Победы 63/4 ла"
276,"г.Ростов-на-Дону 40 лет Победы 63/4 ла"
277,"г.Ростов-на-Дону, 40 лет Победы 63/4, ла"
278,"Б.Неклиновка, Памятный, 5"
279,"г.Миллерово, ул.Бабушкина, 35"
280,"с.Семибалки, ул.Луначарского, 13"
281,"Азовский р-он., х. Павло-Очаково, ул. Победы 25"
282,"г. Батайск, ул. М. Горького, 133"
283,"г.Азов ул.Ленина 68"
284,"г.Азов, ул.Ленина 68"
285,"г. Батайск, ул. Октябрьская, 118/2 ,магазин Восточная лавка"
286,"г.Ростов н/Д, ул.Стачки, 231"
287,"г Ростов-на-Дону Октябрьский район ул Петренко д 2"
288,"г. Ростов-на-Дону, Октябрьский район, ул. Петренко, д. 2"
289,"Неклиновский р-н, с.Троицкое, ул.Ленина, 21а"
290,"Неклиновский р-н, с. Троицкое, ул. Ленина, 111"
291,"Донецк, ул.Боевая, 14а"
292,"г.Таганрог,ул. Московская 6/2 торгговый комплекс Теремок м-н чай кофе"
293,"344041, г.Ростов-на-Дону, ул. Доватора, 19"
294,"с. стефанидинодар ул. кошевого 22"
295,"х.Поцелуев, ул.Центральная 20"
296,"г.Ростов н/Д, ул.Социалистическая, 134"
297,"ИП Строителева М М 346330 Рост обл г Донецк ул Горького 67а"
298,"ИП Строителева М.М. 346330 Рост.обл.г.Донецк ул.Горького 67а"
299,"ИП Строителева М.М.,346330 Рост.обл.г.Донецк,ул.Горького,67а"
300,"г Батайск ул Крупской 25"
301,"г.Батайск ул.Крупской 25"
302,"г.Батайск, ул.Крупской 25"
303,"г.Батайск, ул.Энгельса, 227 б"
304,"ул. оганова 39а (в автосервисах)"
305,"Неклиновский р-н, с.Синявское, ул.Первомайская 24б"
306,"Каменский р-н, п.Молодлёжный, ул.Достоевского 4а"
307,"с.Кулешовка, ул.Ленина, 229"
308,"с.Малофёдоровка, ул.Мира, 1"
309,"ст.Чалова, ул.Горького, 92"
310,"с.Русско-Лютино, ул.Социалистическая, 41"
311,"Аксай, ул. Фрунзе, 18а"
312,"п.Тарасовский, Ленина, 56а"
313,"Азовский р-он. с. Кулешовка, ул. Ленина 295Б"
314,"азов васильева 81в"
315,"г каменск-Шахтинский Коммунистический 102 м-н Чай кофе"
316,"г.каменск-Шахтинский,Коммунистический 102 м-н Чай кофе"
317,"г Ростов н/Дону ул Вересаева р-к "Лидер"(Александр)"
318,"г.Ростов н/Дону ул.Вересаева р-к "Лидер"(Александр)"
319,"г.Ростов н/Дону, ул.Вересаева, р-к "Лидер"(Александр)"
320,"Г.Ростов-на-Дону ул. Маршала Жукова 36/5"
321,"Г.Ростов-на-Дону, ул. Маршала Жукова,36/5"
322,"с.Политотдельское, ул.Гардемана, 16"
323,"г.Азов рынок"
324,"г.Азов, рынок"
325,"Куйбышевский р-н, Б.Кирсановка, ул.Мира, 13а"
326,"с.Русское, ул.Школьная, 12, кв.1"
327,"г Ейск ул Мичурина4"
328,"г.Ейск ул. Мичурина4"
329,"г.Ейск,ул. Мичурина4"
330,"п.Тарасовский, Ленина, 41"
331,"Рост.оюл. г. Зерноград,ул.Белинвкого22/47"
332,"Матвеев-Курган, ул. 40 лет Пионерии, 35а"
333,"г. Ростов-на-Дону, ул. Врубовая, 34, база "Надежда", пав. 52"
334,"г.Ростов н/Д, пр-т 40 лет Победы, 97В"
335,"Ростов-на-Дону, ул. Ларина 24/1"
336,"Азовский р-он. с.Пешково, пр-т. Октябрьский 8 б"
337,"х.Волченский, ул. Шахтерская, 90а"
338,"Ст.Егорлыкская,пер.Первомайский,155б."
339,"ИП Чумакова Н В 347740 РФ Ростов обл г Зерноград пер Селекционный 13а"
340,"ИП Чумакова Н.В. 347740 РФ Ростов.обл.г.Зерноград пер.Селекционный 13а"
341,"ИП Чумакова Н.В.,347740,РФ, Ростов.обл.г.Зерноград,пер.Селекционный,13а"
342,"Александровский рынок"
343,"г.Новочеркасск, ул.Макаренко, 42"
344,"г.Ростов н/Д, ул.Туполева, 7а"
345,"х.Красный Десант, ул.Октябрьская, 37"
